location.1,total_deaths,date,individualism,masculinity,powerdistance,indulgence,uncertaintyavoidance,longtermorientation,democracyindex2021,gdp_per_capita,aged_65_older,stringency_index,population,country_region,date.1,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Angola,,25/03/2020,18,20,83,83,60,15,3,5819,2,33,33933611,Angola,25/03/2020,-22,1,-24,-41,-22,15
Angola,,26/03/2020,18,20,83,83,60,15,3,5819,2,33,33933611,Angola,26/03/2020,-10,23,-9,-25,-27,11
Angola,,27/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,27/03/2020,-48,-22,-32,-52,-47,26
Angola,,28/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,28/03/2020,-51,-33,-28,-41,-22,20
Angola,2,29/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,29/03/2020,-61,-40,-39,-57,-11,22
Angola,2,30/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,30/03/2020,-55,-36,-35,-59,-54,30
Angola,2,31/03/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,31/03/2020,-55,-37,-37,-62,-55,29
Angola,2,01/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,01/04/2020,-55,-36,-40,-61,-55,28
Angola,2,02/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,02/04/2020,-55,-35,-34,-60,-55,28
Angola,2,03/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,03/04/2020,-58,-35,-41,-63,-53,32
Angola,2,04/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,04/04/2020,-58,-40,-37,-56,-36,24
Angola,2,05/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,05/04/2020,-62,-37,-48,-63,-17,22
Angola,2,06/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,06/04/2020,-52,-33,-37,-59,-52,28
Angola,2,07/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,07/04/2020,-53,-33,-41,-61,-54,28
Angola,2,08/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,08/04/2020,-54,-36,-41,-62,-53,28
Angola,2,09/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,09/04/2020,-51,-30,-34,-58,-53,27
Angola,2,10/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,10/04/2020,-60,-37,-49,-65,-69,36
Angola,2,11/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,11/04/2020,-53,-32,-37,-44,-31,22
Angola,2,12/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,12/04/2020,-60,-36,-45,-56,-18,21
Angola,2,13/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,13/04/2020,-55,-40,-39,-60,-51,29
Angola,2,14/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,14/04/2020,-52,-35,-40,-57,-51,27
Angola,2,15/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,15/04/2020,-54,-40,-41,-64,-52,29
Angola,2,16/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,16/04/2020,-52,-34,-36,-59,-51,25
Angola,2,17/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,17/04/2020,-56,-37,-43,-63,-50,31
Angola,2,18/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,18/04/2020,-60,-41,-39,-61,-35,23
Angola,2,19/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,19/04/2020,-63,-41,-47,-68,-18,21
Angola,2,20/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,20/04/2020,-55,-39,-38,-67,-49,28
Angola,2,21/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,21/04/2020,-53,-34,-37,-64,-49,27
Angola,2,22/04/2020,18,20,83,83,60,15,3,5819,2,91,33933611,Angola,22/04/2020,-55,-40,-41,-68,-50,28
Angola,2,23/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,23/04/2020,-51,-31,-36,-63,-49,26
Angola,2,24/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,24/04/2020,-55,-34,-39,-65,-47,29
Angola,2,25/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,25/04/2020,-47,-24,-27,-53,-24,18
Angola,2,26/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,26/04/2020,-51,-23,-41,-63,-9,19
Angola,2,27/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,27/04/2020,-37,-21,-26,-55,-33,21
Angola,2,28/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,28/04/2020,-32,-11,-19,-45,-33,17
Angola,2,29/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,29/04/2020,-31,-12,-22,-49,-32,20
Angola,2,30/04/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,30/04/2020,-28,-6,-13,-39,-31,18
Angola,2,01/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,01/05/2020,-51,-31,-38,-62,-64,31
Angola,2,02/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,02/05/2020,-36,-15,-21,-41,-9,16
Angola,2,03/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,03/05/2020,-53,-27,-40,-63,-4,19
Angola,2,04/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,04/05/2020,-37,-25,-24,-54,-30,22
Angola,2,05/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,05/05/2020,-33,-16,-26,-47,-32,19
Angola,2,06/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,06/05/2020,-34,-22,-26,-51,-31,22
Angola,2,07/05/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,07/05/2020,-33,-12,-19,-45,-30,19
Angola,2,08/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,08/05/2020,-39,-20,-27,-52,-28,24
Angola,2,09/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,09/05/2020,-35,-11,-19,-41,-5,16
Angola,2,10/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,10/05/2020,-52,-26,-37,-60,-3,19
Angola,2,11/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,11/05/2020,-36,-24,-24,-50,-27,21
Angola,2,12/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,12/05/2020,-33,-16,-21,-49,-28,20
Angola,2,13/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,13/05/2020,-34,-20,-25,-51,-28,20
Angola,2,14/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,14/05/2020,-33,-18,-17,-44,-28,18
Angola,2,15/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,15/05/2020,-38,-19,-24,-49,-27,23
Angola,2,16/05/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,16/05/2020,-35,-16,-15,-40,-4,17
Angola,2,17/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,17/05/2020,-51,-26,-37,-57,-5,18
Angola,3,18/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,18/05/2020,-35,-23,-22,-49,-25,21
Angola,3,19/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,19/05/2020,-34,-20,-24,-47,-27,20
Angola,3,20/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,20/05/2020,-36,-22,-25,-53,-27,21
Angola,3,21/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,21/05/2020,-34,-19,-15,-48,-27,20
Angola,3,22/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,22/05/2020,-37,-19,-22,-49,-24,22
Angola,4,23/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,23/05/2020,-31,-12,-19,-40,-3,15
Angola,4,24/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,24/05/2020,-45,-22,-35,-57,-3,17
Angola,4,25/05/2020,18,20,83,83,60,15,3,5819,2,81,33933611,Angola,25/05/2020,-29,-18,-21,-49,-22,19
Angola,4,26/05/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,26/05/2020,-23,-7,-21,-41,-22,16
Angola,4,27/05/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,27/05/2020,-19,-1,-17,-43,-21,16
Angola,4,28/05/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,28/05/2020,-17,3,-11,-36,-21,15
Angola,4,29/05/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,29/05/2020,-18,5,-11,-37,-18,17
Angola,4,30/05/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,30/05/2020,-17,5,-4,-30,7,10
Angola,4,31/05/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,31/05/2020,-31,-3,-21,-46,13,12
Angola,4,01/06/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,01/06/2020,-11,6,-5,-31,-15,14
Angola,4,02/06/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,02/06/2020,-15,2,-7,-32,-16,14
Angola,4,03/06/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,03/06/2020,-15,1,-10,-37,-17,14
Angola,4,04/06/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,04/06/2020,-16,1,-6,-32,-16,14
Angola,4,05/06/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,05/06/2020,-19,2,-13,-35,-16,16
Angola,4,06/06/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,06/06/2020,-17,0,-8,-31,7,10
Angola,4,07/06/2020,18,20,83,83,60,15,3,5819,2,78,33933611,Angola,07/06/2020,-32,-9,-24,-47,9,13
Angola,4,08/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,08/06/2020,-15,-5,-11,-35,-14,15
Angola,4,09/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,09/06/2020,-16,-2,-13,-35,-15,14
Angola,4,10/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,10/06/2020,-14,-4,-10,-38,-15,14
Angola,5,11/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,11/06/2020,-16,-2,-2,-38,-15,14
Angola,5,12/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,12/06/2020,-18,-2,-11,-38,-14,16
Angola,6,13/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,13/06/2020,-17,-4,-8,-32,8,10
Angola,6,14/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,14/06/2020,-30,-14,-25,-50,9,12
Angola,6,15/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,15/06/2020,-15,-8,-10,-39,-13,14
Angola,6,16/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,16/06/2020,-14,-3,-11,-36,-14,13
Angola,7,17/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,17/06/2020,-15,-6,-13,-40,-15,14
Angola,8,18/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,18/06/2020,-18,-7,-9,-39,-15,14
Angola,8,19/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,19/06/2020,-21,-6,-15,-44,-14,16
Angola,9,20/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,20/06/2020,-18,-7,-9,-39,6,10
Angola,9,21/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,21/06/2020,-30,-15,-23,-51,7,13
Angola,10,22/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,22/06/2020,-18,-11,-12,-43,-15,15
Angola,10,23/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,23/06/2020,-16,-4,-11,-44,-16,14
Angola,10,24/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,24/06/2020,-13,-3,-11,-41,-15,13
Angola,10,25/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,25/06/2020,-10,4,1,-37,-15,12
Angola,10,26/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,26/06/2020,-8,10,-8,-36,-15,13
Angola,10,27/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,27/06/2020,-7,8,-2,-28,6,8
Angola,11,28/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,28/06/2020,-21,-2,-18,-48,9,10
Angola,11,29/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,29/06/2020,-7,5,-3,-32,-12,12
Angola,13,30/06/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,30/06/2020,-4,13,-6,-28,-13,11
Angola,15,01/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,01/07/2020,-4,10,-5,-33,-13,10
Angola,17,02/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,02/07/2020,-5,11,3,-28,-13,11
Angola,18,03/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,03/07/2020,-9,10,-5,-31,-13,13
Angola,19,04/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,04/07/2020,-10,6,0,-27,8,8
Angola,19,05/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,05/07/2020,-21,-3,-19,-43,10,10
Angola,19,06/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,06/07/2020,-8,2,-6,-33,-13,12
Angola,21,07/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,07/07/2020,-8,4,-6,-29,-15,12
Angola,21,08/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,08/07/2020,-11,2,-11,-36,-14,12
Angola,22,09/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,09/07/2020,-17,-6,-6,-32,-17,14
Angola,23,10/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,10/07/2020,-21,-7,-13,-37,-17,17
Angola,23,11/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,11/07/2020,-19,-2,-7,-34,5,11
Angola,26,12/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,12/07/2020,-31,-13,-23,-48,5,13
Angola,26,13/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,13/07/2020,-20,-12,-10,-39,-17,15
Angola,26,14/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,14/07/2020,-19,-7,-14,-35,-19,14
Angola,27,15/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,15/07/2020,-20,-13,-16,-39,-19,15
Angola,28,16/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,16/07/2020,-20,-6,-9,-34,-18,14
Angola,29,17/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,17/07/2020,-23,-10,-18,-42,-19,18
Angola,29,18/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,18/07/2020,-22,-7,-13,-37,1,11
Angola,29,19/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,19/07/2020,-33,-16,-27,-52,2,14
Angola,29,20/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,20/07/2020,-23,-13,-11,-38,-19,16
Angola,30,21/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,21/07/2020,-23,-9,-17,-37,-21,15
Angola,33,22/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,22/07/2020,-25,-15,-18,-42,-21,15
Angola,33,23/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,23/07/2020,-22,-7,-8,-37,-20,13
Angola,35,24/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,24/07/2020,-22,-4,-13,-38,-19,17
Angola,39,25/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,25/07/2020,-17,4,-4,-28,0,10
Angola,40,26/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,26/07/2020,-30,-8,-21,-47,0,12
Angola,41,27/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,27/07/2020,-16,-5,-8,-35,-18,14
Angola,47,28/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,28/07/2020,-14,2,-9,-31,-19,13
Angola,48,29/07/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,29/07/2020,-10,0,-5,-31,-19,13
Angola,51,30/07/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,30/07/2020,-9,11,4,-24,-19,12
Angola,52,31/07/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,31/07/2020,-11,5,-4,-27,-18,14
Angola,54,01/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,01/08/2020,-9,12,4,-19,5,7
Angola,55,02/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,02/08/2020,-21,0,-14,-41,8,10
Angola,58,03/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,03/08/2020,-10,0,-4,-27,-16,13
Angola,59,04/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,04/08/2020,-11,6,-2,-27,-19,12
Angola,62,05/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,05/08/2020,-10,-2,-3,-32,-18,13
Angola,64,06/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,06/08/2020,-11,4,4,-27,-18,12
Angola,67,07/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,07/08/2020,-15,-3,-7,-32,-17,14
Angola,70,08/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,08/08/2020,-12,3,4,-25,5,8
Angola,75,09/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,09/08/2020,-24,-9,-12,-45,5,10
Angola,78,10/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,10/08/2020,-11,-2,-1,-31,-15,13
Angola,80,11/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,11/08/2020,-11,2,-2,-28,-17,11
Angola,80,12/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,12/08/2020,-10,-2,-1,-35,-17,13
Angola,80,13/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,13/08/2020,-10,3,1,-25,-18,12
Angola,86,14/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,14/08/2020,-13,1,-1,-34,-16,14
Angola,86,15/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,15/08/2020,-14,0,1,-29,5,8
Angola,88,16/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,16/08/2020,-24,-10,-13,-45,6,10
Angola,88,17/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,17/08/2020,-15,-5,,,-16,13
Angola,90,18/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,18/08/2020,-14,-1,,,-16,12
Angola,92,19/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,19/08/2020,-14,-8,,,-17,13
Angola,93,20/08/2020,18,20,83,83,60,15,3,5819,2,79,33933611,Angola,20/08/2020,-15,-3,,,-17,12
Angola,94,21/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,21/08/2020,-17,-4,,,-17,14
Angola,94,22/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,22/08/2020,-15,-3,,,4,8
Angola,96,23/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,23/08/2020,-24,-12,,,6,10
Angola,100,24/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,24/08/2020,-15,-7,,,-16,13
Angola,102,25/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,25/08/2020,-12,-1,,,-17,12
Angola,103,26/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,26/08/2020,-12,-4,,,-16,12
Angola,105,27/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,27/08/2020,-10,2,,,-16,11
Angola,106,28/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,28/08/2020,-10,0,,,-17,13
Angola,107,29/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,29/08/2020,-7,5,,,3,6
Angola,107,30/08/2020,18,20,83,83,60,15,3,5819,2,76,33933611,Angola,30/08/2020,-17,-7,,,6,8
